#{"t_start": 1672722784.839178, "env_id": null}
r,l,t
-3.2,396,25483.011169
-3.3,394,25489.851652
-3.55,389,25496.592611
264.6,5152,25616.635115
-3.15,397,25623.517372
-3.2,396,25630.411928
191.5,3810,25750.451413
-2.75,405,25757.3854
266.45,5289,25877.415676
-3.25,395,25884.263527
-3.3,394,25891.133042
196.2,3864,26011.142727
-3.8,384,26017.993631
269.1,5242,26138.020282
-4.4,372,26144.514714
-3.1,398,26151.421735
216.15,4263,26271.474622
320.35,6207,26394.432296
-3.2,396,26401.31173
209.85,4057,26521.355276
-3.15,397,26528.219426
-3.9,382,26534.850587
-3.25,395,26541.70537
-3.25,395,26548.543649
244.05,4681,26668.5586
235.3,4646,26788.596044
-3.05,399,26795.496523
-4.1,378,26802.055912
218.9,4338,26935.341667
244.0,4740,27055.378497
-3.15,397,27062.284314
-3.0,400,27069.227505
-3.3,394,27076.065682
205.45,4069,27200.643528
240.75,4775,27320.694104
-1.65,427,27328.094308
-3.55,389,27334.843131
-3.5,390,27341.602712
-3.4,392,27348.3383
195.5,3770,27468.373553
239.8,4816,27588.390117
-4.2,376,27594.905678
-3.7,386,27601.62857
-3.95,381,27608.238996
-3.35,393,27615.077418
218.05,4241,27737.940176
-4.35,373,27744.375819
-3.15,397,27751.265116
-3.25,395,27758.149237
-4.2,376,27764.656382
-3.25,395,27771.515032
261.3,5086,27891.543114
-3.5,390,27898.34066
-3.05,399,27905.246263
-4.35,373,27911.894034
195.75,3775,28031.908047
322.55,6471,28151.915579
189.95,3659,28271.913709
-3.2,396,28278.579324
319.35,6187,28399.145828
-3.45,391,28405.871126
210.5,4130,28525.891911
-4.45,371,28532.345263
-4.0,380,28538.962664
-3.7,386,28545.661427
-3.2,396,28552.515699
233.9,4538,28683.715641
-4.0,380,28690.216978
-4.4,372,28696.648568
-3.45,391,28703.44723
-3.5,390,28710.202717
313.9,6178,28830.222048
238.85,4637,28950.249592
-3.7,386,28956.903058
-3.15,397,28963.796493
-3.55,389,28970.540391
-5.9,402,28977.462629
313.9,6078,29121.425968
271.5,5290,29241.467368
-3.7,386,29248.152939
-3.4,392,29254.952371
219.0,4300,29378.053748
-3.1,398,29384.941241
-0.6,388,29391.662764
-3.15,397,29398.569791
-3.1,398,29405.478784
-3.25,395,29412.344451
320.15,6203,29532.350932
189.2,3644,29652.359688
-2.5,410,29659.379577
319.95,6199,29782.795642
-3.0,400,29789.71076
-4.3,374,29796.217005
-3.25,395,29803.085958
226.3,4386,29923.136771
-4.5,370,29929.55447
236.95,4659,30049.595842
-3.1,398,30056.482106
200.05,3921,30176.537874
-3.4,392,30183.360476
-3.25,395,30190.214926
-3.15,397,30197.068853
238.45,4749,30317.086049
193.85,3897,30437.099031
-3.1,398,30443.955277
-4.2,376,30450.462972
-3.2,396,30457.31394
-4.45,371,30463.762296
241.25,4845,30583.771827
210.55,4071,30703.787869
-4.3,374,30710.2695
-3.0,400,30717.154566
-3.4,392,30723.968912
-3.05,399,30730.875618
229.25,4445,30863.555469
-3.0,400,30870.455341
